ID ONIX;DESCRICAO;PREFIXO;Embalagem;Unid;Volume;Status
2;ACTARA 250 WG - 67 G;ACTARA 250 WG;67;G;0.067;0
3;ACTARA 250 WG - 100 G;ACTARA 250 WG;100;G;0.1;1
4;ACTARA 250 WG - 1 KG;ACTARA 250 WG;1;KG;1;1
5;ACTARA 250 WG - 20 KG;ACTARA 250 WG;20;KG;20;1
6;ACTARA 750 SG - 1 KG;ACTARA 750 SG;1;KG;1;1
7;ACTARA 750 SG - 20 KG;ACTARA 750 SG;20;KG;20;1
8;ADANTE - 1 KG;ADANTE;1;KG;1;0
9;ADANTE - 3 KG;ADANTE;3;KG;3;0
10;AGRAL - 1 L;AGRAL;1;L;1;1
11;AGRAL - 5 L;AGRAL;5;L;5;1
12;ALTO 100 SL - 1 L;ALTO 100 SL;1;L;1;1
13;ALTO 100 SL - 5 L;ALTO 100 SL;5;L;5;1
14;AMINAMAR - 20 L;AMINAMAR;20;L;20;0
15;AMISTAR 50 WG - 100 G;AMISTAR 50 WG;100;G;0.1;1
16;AMISTAR 50 WG - 500 G;AMISTAR 50 WG;500;G;0.5;1
17;AMISTAR 50 WG - 3 KG;AMISTAR 50 WG;3;KG;3;1
18;AMISTAR TOP - 250 ML;AMISTAR TOP;250;ML;0.25;1
19;AMISTAR TOP - 1 L;AMISTAR TOP;1;L;1;1
20;AMISTAR TOP - 5 L;AMISTAR TOP;5;L;5;1
21;AMISTAR TOP - 20 L;AMISTAR TOP;20;L;20;1
22;AMISTAR WG - 100 G;AMISTAR WG;100;G;0.1;0
23;AMISTAR WG - 500 G;AMISTAR WG;500;G;0.5;0
24;AMPLIGO - 250 ML;AMPLIGO;250;ML;0.25;1
25;AMPLIGO - 1 L;AMPLIGO;1;L;1;1
26;AMPLIGO - 5 L;AMPLIGO;5;L;5;1
27;AMULET - 5 L;AMULET;5;L;5;1
28;AMULET - 1000 L;AMULET;1000;L;1000;1
29;ANVIL 100 - 1 L;ANVIL 100;1;L;1;0
30;APRON RFC - 1 L;APRON RFC;1;L;1;0
31;AQUILA - 1 KG;AQUILA;1;KG;1;0
32;ARTEA - 1 L;ARTEA;1;L;1;0
33;AVICTA 500 FS - 5 L;AVICTA 500 FS;5;L;5;1
34;AVICTA 500 FS - 1000 L;AVICTA 500 FS;1000;L;1000;1
35;AVICTA COMPLETO (ADVANCED) SOJA 20 L - 1 CX;AVICTA COMPLETO (ADVANCED) SOJA 20 L;1;CX;1;1
36;AVICTA COMPLETO (MAXIM XL) SOJA 20 L - 1 CX;AVICTA COMPLETO (MAXIM XL) SOJA 20 L;1;CX;1;0
37;AVICTA COMPLETO 20 L - 1 CX;AVICTA COMPLETO 20 L;1;CX;1;1
38;BIM 750 BR - 1 KG;BIM 750 BR;1;KG;1;1
39;BIOCROMA VERMELHO - 20 L;BIOCROMA VERMELHO;20;L;20;1
40;BIOCROMA VERMELHO - 1000 L;BIOCROMA VERMELHO;1000;L;1000;1
41;BION 500 WG - 250 G;BION 500 WG;250;G;0.25;1
42;BION 500 WG - 1 KG;BION 500 WG;1;KG;1;1
43;BION 500 WG - 5 KG;BION 500 WG;5;KG;5;1
44;BOX DUAL GOLD 21.04 kg - 1 CX;BOX DUAL GOLD 21.04 kg;1;CX;1;0
45;BOX MILHO SAFRINHA 16 L - 1 CX;BOX MILHO SAFRINHA 16 L;1;CX;1;0
46;BOX MILHO VERAO 22 L - 1 CX;BOX MILHO VERAO 22 L;1;CX;1;0
47;BOX PERCEVEJO 20 L - 1 CX;BOX PERCEVEJO 20 L;1;CX;1;0
48;BOX PRIORI SCORE 1 x 14 L - 1 CX;BOX PRIORI SCORE 1 x 14 L;1;CX;1;0
49;BOX PRIORI SCORE 1 x 3500 ML 1 cx - 1 CX;BOX PRIORI SCORE 1 x 3500 ML 1 cx;1;CX;1;0
50;BRAVONIL 500 - 5 L;BRAVONIL 500;5;L;5;1
51;BRAVONIL 720 - 20 L;BRAVONIL 720;20;L;20;1
52;BRAVONIL 720 - 5 L;BRAVONIL 720;5;L;5;1
53;BRAVONIL ULTREX - 1 KG;BRAVONIL ULTREX;1;KG;1;1
54;BRAVONIL ULTREX - 5 KG;BRAVONIL ULTREX;5;KG;5;1
55;BREAK-THRU - 1 L;BREAK-THRU;1;L;1;1
56;CAIXA 10 ARROZ 9.5 L - 1 CX;CAIXA 10 ARROZ 9.5 L;1;CX;1;0
