id;code_sap;razao_social;nome_fantasia;criado_em;atualizado_em;status
1;10604003;2D COM DE INSUMOS AGRIC LTDA;DDB AGRO;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
2;10552781;A VOLPATO & R VOLPATO LTDA;CASA DO PRODUTOR;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
3;10551138;ADUBOS ARAGUAIA IND E COM LTDA;ADUBOS ARAGUAIA;2019-12-03 18:55:28.274305;2019-12-19 20:50:54.607006;1
4;10433983;ADUBOS REAL SA;ADUBOS REAL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
5;10433587;AGRIC HORIZONTE LTDA;AGRIC HORIZONTE;2019-12-03 18:55:28.274305;2019-12-26 20:57:43.367665;1
6;10433936;AGRIC MK LTDA;AGRIC MK;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
7;10486630;AGRIC PANORAMA COM REPRES LTDA;PANORAMA;2019-12-03 18:55:28.274305;2019-12-20 01:22:40.714283;1
8;10434494;AGRIC SOLUCAO EIRELI ME;AGRISOL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
9;10434033;AGRIC VASSOLER LTDA;VASSOLER;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
10;10441788;AGRICOLA ESTRELA LTDA;AGRIC ESTRELA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
11;10549551;AGRO COMERCIAL KIST E HEEMANN LTDA;AGROKIST;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
12;10433578;AGRO COML AFUBRA LTDA;AFUBRA;2019-12-03 18:55:28.274305;2019-12-20 04:14:14.076834;1
13;10433851;AGRO JANGADA LTDA;AGRO JANGADA;2019-12-03 18:55:28.274305;2019-12-17 16:43:50.045135;1
14;10552115;AGRO MARAPOAMA COM PROD AGRI LTDA;AGRO COLABONI;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
15;10502625;AGRO NETO COM DE CEREAIS PROD AGROP;AGROMAIA;2019-12-03 18:55:28.274305;2020-01-09 18:51:56.377091;1
16;10622200;AGRO SUDOESTE LTDA;AGRO SUDOESTE;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
17;10550831;AGROCAFE COM REPRES LTDA;AGROCAFE;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
18;10433939;AGROCANA COM E REPRES LTDA;AGROCANA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
19;10434381;AGROCAT DISTR DE INSUMOS AGRIC LTDA;AGROCAT;2019-12-03 18:55:28.274305;2019-12-20 18:08:35.338674;1
20;10433848;AGROCAXIAS COMERCIAL AGRICOLA;AGROCAXIAS;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
21;10433439;AGROCERRADO PROD AGRIC AS TEC LTDA;AGROCERRADO;2019-12-03 18:55:28.274305;2019-12-17 16:48:53.308073;1
22;10434361;AGROCOMERCIAL SANDRI LTDA;SANDRI;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
23;10434451;AGROFARM PRODUTOS AGROQUIMICOS LTDA;AGROFARM;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
24;10434370;AGROGARCIA INSUMOS AGRICOLAS LTDA;GEAGRO;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
25;10560502;AGROIN COM E REPRESENTACOES LTDA;AGROIN;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
26;10586362;AGROINSUMOS COML AGRIC LTDA;AGROINSUMOS;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
27;10528610;AGROLOGICA AGROMERCANTIL LTDA;AGROLOGICA;2019-12-03 18:55:28.274305;2019-12-17 17:43:43.638397;1
28;10598542;AGROMEC JALES AGRICOLA LTDA;AGROMEC;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
29;10550402;AGROMITOS AGROP LTDA EPP;AGROMITOS;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
